iter	Passed	Remaining
1454	13721	424
1455	13730	414
1456	13739	405
1457	13747	396
1458	13756	386
1459	13765	377
1460	13774	367
1461	13783	358
1462	13792	348
1463	13802	339
1464	13812	329
1465	13820	320
1466	13829	311
1467	13839	301
1468	13848	292
1469	13857	282
1470	13865	273
1471	13874	263
1472	13883	254
1473	13892	245
1474	13901	235
1475	13910	226
1476	13919	216
1477	13929	207
1478	13938	197
1479	13947	188
1480	13956	179
1481	13964	169
1482	13972	160
1483	13982	150
1484	13992	141
1485	14001	131
1486	14009	122
1487	14018	113
1488	14027	103
1489	14037	94
1490	14046	84
1491	14055	75
1492	14064	65
1493	14074	56
1494	14082	47
1495	14091	37
1496	14100	28
1497	14109	18
1498	14118	9
1499	14127	0
